Kategori: Alla kategorier

Vecka,vaccin: (Sverige)
2019-11-03,5
2019-11-10,6
2019-11-17,9
2019-11-24,5
2019-12-01,7
2019-12-08,6
2019-12-15,4
2019-12-22,3
2019-12-29,3
2020-01-05,6
2020-01-12,5
2020-01-19,6
2020-01-26,7
2020-02-02,5
2020-02-09,5
2020-02-16,4
2020-02-23,9
2020-03-01,8
2020-03-08,11
2020-03-15,10
2020-03-22,10
2020-03-29,8
2020-04-05,8
2020-04-12,8
2020-04-19,9
2020-04-26,8
2020-05-03,9
2020-05-10,9
2020-05-17,10
2020-05-24,8
2020-05-31,9
2020-06-07,13
2020-06-14,10
2020-06-21,11
2020-06-28,16
2020-07-05,10
2020-07-12,10
2020-07-19,7
2020-07-26,6
2020-08-02,7
2020-08-09,6
2020-08-16,8
2020-08-23,8
2020-08-30,7
2020-09-06,7
2020-09-13,7
2020-09-20,5
2020-09-27,6
2020-10-04,8
2020-10-11,7
2020-10-18,8
2020-10-25,10
2020-11-01,12
2020-11-08,20
2020-11-15,18
2020-11-22,15
2020-11-29,17
2020-12-06,26
2020-12-13,21
2020-12-20,24
2020-12-27,32
2021-01-03,26
2021-01-10,35
2021-01-17,33
2021-01-24,27
2021-01-31,28
2021-02-07,27
2021-02-14,34
2021-02-21,36
2021-02-28,41
2021-03-07,50
2021-03-14,48
2021-03-21,38
2021-03-28,44
2021-04-04,62
2021-04-11,74
2021-04-18,75
2021-04-25,71
2021-05-02,81
2021-05-09,70
2021-05-16,78
2021-05-23,64
2021-05-30,72
2021-06-06,70
2021-06-13,73
2021-06-20,67
2021-06-27,100
2021-07-04,73
2021-07-11,54
2021-07-18,49
2021-07-25,46
2021-08-01,40
2021-08-08,43
2021-08-15,43
2021-08-22,39
2021-08-29,37
2021-09-05,34
2021-09-12,33
2021-09-19,27
2021-09-26,27
2021-10-03,27
2021-10-10,17
2021-10-17,17
2021-10-24,19
2021-10-31,14
2021-11-07,26
2021-11-14,27
2021-11-21,31
2021-11-28,33
2021-12-05,38
